PropertyHintId,CountryIds,TagKey,TagValue
addressLine1,,accessibilityName,Address line 1
addressLine2,,accessibilityName,Address line 2 (Optional)
addressLine3,{}AddressLine3O,accessibilityName,Address line 3 (Optional)
addressLine3,,accessibilityName,Address line 3
addressCity,,accessibilityName,City
addressCounty,,accessibilityName,County
addressPostalCode,{}AddressPostalCodeM,accessibilityName,Postal Code
addressPostalCode,{}AddressPostalCodeO,accessibilityName,Postal Code (Optional)
addressPostalCode,US,accessibilityName,ZIP code
addressPostalCode,SE,accessibilityName,Postal Code
addressPostalCode,BR,accessibilityName,Postal Code
submitButton,,accessibilityName,Next
saveNextButton,,accessibilityName,Next
saveContinueButton,,accessibilityName,"Continue"
cancelButton,,accessibilityName,Cancel
backButton,,accessibilityName,Back
nextButton,,accessibilityName,Next
saveAddressButton,,accessibilityName,Add billing address
taxCpfProperty,,accessibilityName,CPF
creditCardsummaryGroup,,summary-group,summary-group
creditCardUpdatesummaryGroup,,summary-group,summary-group
directDebitAchsummaryGroup,,summary-group,summary-group
directDebitSepasummaryGroup,,summary-group,summary-group
addressSummaryGroup,,summary-group,summary-group
paypalText2,,bold,text-bold
microsoftPrivacyTextGroup,,privacy-text-group,privacy-text-group
paypalSignInButton,,accessibilityName,"Sign in to PayPal"
paypalYesButton,,accessibilityName,"Continue"
paypalTryAnotherWayButton,,accessibilityName,"I'll use another way to pay"
paypalTryAgainButton,,accessibilityName,"Try again"
noProfileAddressText,,bold,text-bold
newPaymentMethodLink,,accessibilityName,Add a new payment method
,,action-trigger,action-trigger
,,button-full-width,button-full-width
firstName,,accessibilityName,First name
lastName,,accessibilityName,Last name
emailAddress,,accessibilityName,Email address
paymentMethodSelectHeading,,accessibilityName,Select a way to pay
paymentMethod,,accessibilityName,Select a payment type
,,theme,windows
directDebitAchAccountholderName,,accessibilityName,Name on account
directDebitAchAccountType,,theme,windows
,,accessibilityName,Type
directDebitAchAccount,,accessibilityName,Account number
,,col-6,col-6
,,help.closeButtonAccessibilityName,This is the account number on the check. Close.
,,help.accessibilityName,''
,,help.linkAccessibilityName,What is an account number?
lastFourDigitsACH,,accessibilityName,Account number
,,col-6,col-6
,,help.closeButtonAccessibilityName,This is the account number on the check. Close.
,,help.accessibilityName,''
,,help.linkAccessibilityName,What is an account number?
directDebitAchBankCode,,accessibilityName,Routing number
,,col-6,col-6
,,help.closeButtonAccessibilityName,This is the routing number on the check. Close.
,,help.accessibilityName,''
,,help.linkAccessibilityName,What is a routing number?
achAccountNumberImage,,accessibilityName,Account number
achRoutingNumberImage,,accessibilityName,Routing number
achTermCheckbox,,accessibilityName,"By registering or selecting your bank account as your payment method, you authorize Microsoft (or its agent) to initiate one or more debits for the total amount (including applicable taxes, fees and shipping costs) of your purchase or subscription charge (in accordance with the terms of your subscription service) from your bank account (and, if necessary, initiate one or more credits to your bank account to correct errors, issue a refund or similar purpose), and you authorize the financial institution that holds your bank account to deduct such debits or accept such credits.  You understand that this authorization will remain in full force and effect until you remove your bank account information from your Microsoft account or Skype account."
directDebitSepaAccountholderName,,accessibilityName,Name on account
directDebitSepaAccount,,accessibilityName,IBAN
lastFourDigitsSepa,,accessibilityName,IBAN number
directDebitSepaBankCode,,accessibilityName,BIC
directDebitSepaBankName,,accessibilityName,Bank name
directDebitAchsummaryGroup,,summary-group,summary-group
directDebitSepasummaryGroup,,summary-group,summary-group
sepaLogo,,accessibilityName,"SEPA Direct debit"
sepaTryAgainLink,,accessibilityName,"Try again"
sepaContinueButton,,accessibilityName,"Continue"
paymentInstrumentItemEwalletPayPalLogo,,accessibilityName,Paypal
paymentInstrumentItemDDAchLogo,,accessibilityName,Bank Account
paymentInstrumentItemDDSepaLogo,,accessibilityName,Direct Debit
addressSuggested,,accessibilityName,We suggest
addressEntered,,accessibilityName,Your address
addressUseButton,,accessibilityName,Use this address
paymentInstrument,,accessibilityName,Pick a way to pay
paymentSelectionChangeGroup,,pi-container,pi-container
paymentSelectionGroup,,pi-container,pi-container
cvv3DSSubmitButton,,accessibilityName,Submit
cancelBackButton,,accessibilityName,Back
