Url,Resource Name,Identity,Country,Language,Partner,Operation,Scenario,Filter,AllowedPaymentMethods,DeltaType/Description,Path,In SelfHost,In SelfHost,SelfHost Response,SelfHost Response,PI State,PI Scenario,Data,Triage
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=xboxsubs&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,xboxsubs,add,,,,Edited,[0].displayDescription[0].members[0].displayContent,Set up a SEPA Direct debit account,Set up to pay by SEPA direct debit,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=xboxsubs&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,xboxsubs,add,,,,Edited,[0].displayDescription[0].members[0].displayId,addDirectDebitSepaHeading,addDirectDebitSepaNewHeading,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=xboxsubs&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,xboxsubs,add,,,,Edited,[0].displayDescription[1].members[6].displayContent,You'll be redirected to complete the signing process.,"You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done.",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=xboxsubs&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,xboxsubs,add,,,,Edited,[0].displayDescription[1].members[6].displayId,directDebitSepaDocuSignText,directDebitSepaUpdateNewLine1,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=webblends&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,webblends,add,,,,Edited,[0].displayDescription[0].members[0].displayContent,Set up a SEPA Direct debit account,Set up to pay by SEPA direct debit,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=webblends&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,webblends,add,,,,Edited,[0].displayDescription[0].members[0].displayId,addDirectDebitSepaHeading,addDirectDebitSepaNewHeading,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=webblends&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,webblends,add,,,,Edited,[0].displayDescription[1].members[6].displayContent,You'll be redirected to complete the signing process.,"You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done.",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=webblends&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,webblends,add,,,,Edited,[0].displayDescription[1].members[6].displayId,directDebitSepaDocuSignText,directDebitSepaUpdateNewLine1,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=setupofficesdx&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,setupofficesdx,add,,,,Edited,[0].displayDescription[0].members[0].displayContent,Set up a SEPA Direct debit account,Set up to pay by SEPA direct debit,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=setupofficesdx&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,setupofficesdx,add,,,,Edited,[0].displayDescription[0].members[0].displayId,addDirectDebitSepaHeading,addDirectDebitSepaNewHeading,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=setupofficesdx&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,setupofficesdx,add,,,,Edited,[0].displayDescription[1].members[6].displayContent,We'll open your browser to complete the signing process.,"You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done.",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=setupofficesdx&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,setupofficesdx,add,,,,Edited,[0].displayDescription[1].members[6].displayId,directDebitSepaDocuSignText,directDebitSepaUpdateNewLine1,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=oxodime&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,oxodime,add,,,,Edited,[0].displayDescription[0].members[0].displayContent,Set up a SEPA Direct debit account,Set up to pay by SEPA direct debit,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=oxodime&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,oxodime,add,,,,Edited,[0].displayDescription[0].members[0].displayId,addDirectDebitSepaHeading,addDirectDebitSepaNewHeading,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=oxodime&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,oxodime,add,,,,Edited,[0].displayDescription[1].members[6].displayContent,You'll be redirected to complete the signing process.,"You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done.",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=oxodime&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,oxodime,add,,,,Edited,[0].displayDescription[1].members[6].displayId,directDebitSepaDocuSignText,directDebitSepaUpdateNewLine1,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=oxowebdirect&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,oxowebdirect,add,,,,Edited,[0].displayDescription[0].members[0].displayContent,Set up a SEPA Direct debit account,Set up to pay by SEPA direct debit,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=oxowebdirect&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,oxowebdirect,add,,,,Edited,[0].displayDescription[0].members[0].displayId,addDirectDebitSepaHeading,addDirectDebitSepaNewHeading,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=oxowebdirect&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,oxowebdirect,add,,,,Edited,[0].displayDescription[1].members[6].displayContent,You'll be redirected to complete the signing process.,"You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done.",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=oxowebdirect&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,oxowebdirect,add,,,,Edited,[0].displayDescription[1].members[6].displayId,directDebitSepaDocuSignText,directDebitSepaUpdateNewLine1,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=officesmb&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,officesmb,add,,,,Deleted,[0].displayDescription[0].members[0],"{    ""displayContent"": ""Set up a SEPA Direct debit account"",    ""displayId"": ""addDirectDebitSepaHeading"",    ""displayType"": ""heading""  }",,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=officesmb&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,officesmb,add,,,,Added,[0].displayDescription[0].members[0],,"{    ""displayContent"": ""Set up to pay by SEPA direct debit"",    ""displayId"": ""addDirectDebitSepaNewHeading"",    ""displayType"": ""heading""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=officesmb&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,officesmb,add,,,,Added,[0].displayDescription[0].members[10],,"{    ""displayContent"": ""You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done."",    ""displayId"": ""directDebitSepaUpdateNewLine1"",    ""displayType"": ""text""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=macmanage&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,macmanage,add,,,,Deleted,[0].displayDescription[0].members[0],"{    ""displayContent"": ""Set up a SEPA Direct debit account"",    ""displayId"": ""addDirectDebitSepaHeading"",    ""displayType"": ""heading""  }",,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=macmanage&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,macmanage,add,,,,Added,[0].displayDescription[0].members[0],,"{    ""displayContent"": ""Set up to pay by SEPA direct debit"",    ""displayId"": ""addDirectDebitSepaNewHeading"",    ""displayType"": ""heading""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=macmanage&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,macmanage,add,,,,Added,[0].displayDescription[0].members[10],,"{    ""displayContent"": ""You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done."",    ""displayId"": ""directDebitSepaUpdateNewLine1"",    ""displayType"": ""text""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=northstarweb&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,northstarweb,add,,,,Deleted,[0].displayDescription[0].members[0],"{    ""displayContent"": ""Set up a SEPA Direct debit account"",    ""displayId"": ""addDirectDebitSepaHeading"",    ""displayType"": ""heading""  }",,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=northstarweb&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,northstarweb,add,,,,Added,[0].displayDescription[0].members[0],,"{    ""displayContent"": ""Set up to pay by SEPA direct debit"",    ""displayId"": ""addDirectDebitSepaNewHeading"",    ""displayType"": ""heading""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=northstarweb&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,northstarweb,add,,,,Added,[0].displayDescription[0].members[10],,"{    ""displayContent"": ""You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done."",    ""displayId"": ""directDebitSepaUpdateNewLine1"",    ""displayType"": ""text""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-US&partner=commercialstores&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-US,commercialstores,add,,,,Edited,[0].displayDescription[0].members[5].displayContent,You'll be redirected to complete the signing process.,"You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done.",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-US&partner=commercialstores&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-US,commercialstores,add,,,,Edited,[0].displayDescription[0].members[5].displayId,directDebitSepaDocuSignText,directDebitSepaUpdateNewLine1,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-US&partner=defaulttemplate&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-US,defaulttemplate,add,,,,Deleted,[0].displayDescription[0].members[0],"{    ""displayContent"": ""Set up a SEPA Direct debit account"",    ""displayId"": ""addDirectDebitSepaHeading"",    ""displayType"": ""heading""  }",,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-US&partner=defaulttemplate&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-US,defaulttemplate,add,,,,Added,[0].displayDescription[0].members[0],,"{    ""displayContent"": ""Set up to pay by SEPA direct debit"",    ""displayId"": ""addDirectDebitSepaNewHeading"",    ""displayType"": ""heading""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-US&partner=defaulttemplate&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-US,defaulttemplate,add,,,,Added,[0].displayDescription[0].members[10],,"{    ""displayContent"": ""You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done."",    ""displayId"": ""directDebitSepaUpdateNewLine1"",    ""displayType"": ""text""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&language=en-US&partner=northstarweb&operation=add,paymentMethodDescriptions,direct_debit,de,en-US,northstarweb,add,,,,Deleted,[0].displayDescription[0].members[0],"{    ""displayContent"": ""Set up a SEPA Direct debit account"",    ""displayId"": ""addDirectDebitSepaHeading"",    ""displayType"": ""heading""  }",,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&language=en-US&partner=northstarweb&operation=add,paymentMethodDescriptions,direct_debit,de,en-US,northstarweb,add,,,,Added,[0].displayDescription[0].members[0],,"{    ""displayContent"": ""Set up to pay by SEPA direct debit"",    ""displayId"": ""addDirectDebitSepaNewHeading"",    ""displayType"": ""heading""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&language=en-US&partner=northstarweb&operation=add,paymentMethodDescriptions,direct_debit,de,en-US,northstarweb,add,,,,Added,[0].displayDescription[0].members[10],,"{    ""displayContent"": ""You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done."",    ""displayId"": ""directDebitSepaUpdateNewLine1"",    ""displayType"": ""text""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&language=en-US&partner=commercialstores&operation=add,paymentMethodDescriptions,direct_debit,de,en-US,commercialstores,add,,,,Edited,[0].displayDescription[0].members[5].displayContent,You'll be redirected to complete the signing process.,"You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done.",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&language=en-US&partner=commercialstores&operation=add,paymentMethodDescriptions,direct_debit,de,en-US,commercialstores,add,,,,Edited,[0].displayDescription[0].members[5].displayId,directDebitSepaDocuSignText,directDebitSepaUpdateNewLine1,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&language=en-US&partner=defaulttemplate&operation=add,paymentMethodDescriptions,direct_debit,de,en-US,defaulttemplate,add,,,,Deleted,[0].displayDescription[0].members[0],"{    ""displayContent"": ""Set up a SEPA Direct debit account"",    ""displayId"": ""addDirectDebitSepaHeading"",    ""displayType"": ""heading""  }",,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&language=en-US&partner=defaulttemplate&operation=add,paymentMethodDescriptions,direct_debit,de,en-US,defaulttemplate,add,,,,Added,[0].displayDescription[0].members[0],,"{    ""displayContent"": ""Set up to pay by SEPA direct debit"",    ""displayId"": ""addDirectDebitSepaNewHeading"",    ""displayType"": ""heading""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&language=en-US&partner=defaulttemplate&operation=add,paymentMethodDescriptions,direct_debit,de,en-US,defaulttemplate,add,,,,Added,[0].displayDescription[0].members[10],,"{    ""displayContent"": ""You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done."",    ""displayId"": ""directDebitSepaUpdateNewLine1"",    ""displayType"": ""text""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-US&partner=twopage&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-US,twopage,add,,,,Deleted,[0].displayDescription[0].members[0],"{    ""displayContent"": ""Set up a SEPA Direct debit account"",    ""displayId"": ""addDirectDebitSepaHeading"",    ""displayType"": ""heading""  }",,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-US&partner=twopage&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-US,twopage,add,,,,Added,[0].displayDescription[0].members[0],,"{    ""displayContent"": ""Set up to pay by SEPA direct debit"",    ""displayId"": ""addDirectDebitSepaNewHeading"",    ""displayType"": ""heading""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-US&partner=twopage&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-US,twopage,add,,,,Added,[0].displayDescription[0].members[10],,"{    ""displayContent"": ""You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done."",    ""displayId"": ""directDebitSepaUpdateNewLine1"",    ""displayType"": ""text""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&language=en-US&partner=twopage&operation=add,paymentMethodDescriptions,direct_debit,de,en-US,twopage,add,,,,Deleted,[0].displayDescription[0].members[0],"{    ""displayContent"": ""Set up a SEPA Direct debit account"",    ""displayId"": ""addDirectDebitSepaHeading"",    ""displayType"": ""heading""  }",,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&language=en-US&partner=twopage&operation=add,paymentMethodDescriptions,direct_debit,de,en-US,twopage,add,,,,Added,[0].displayDescription[0].members[0],,"{    ""displayContent"": ""Set up to pay by SEPA direct debit"",    ""displayId"": ""addDirectDebitSepaNewHeading"",    ""displayType"": ""heading""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&language=en-US&partner=twopage&operation=add,paymentMethodDescriptions,direct_debit,de,en-US,twopage,add,,,,Added,[0].displayDescription[0].members[10],,"{    ""displayContent"": ""You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done."",    ""displayId"": ""directDebitSepaUpdateNewLine1"",    ""displayType"": ""text""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-US&partner=onepage&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-US,onepage,add,,,,Deleted,[0].displayDescription[0].members[0],"{    ""displayContent"": ""Set up a SEPA Direct debit account"",    ""displayId"": ""addDirectDebitSepaHeading"",    ""displayType"": ""heading""  }",,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-US&partner=onepage&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-US,onepage,add,,,,Added,[0].displayDescription[0].members[0],,"{    ""displayContent"": ""Set up to pay by SEPA direct debit"",    ""displayId"": ""addDirectDebitSepaNewHeading"",    ""displayType"": ""heading""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-US&partner=onepage&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-US,onepage,add,,,,Added,[0].displayDescription[0].members[10],,"{    ""displayContent"": ""You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done."",    ""displayId"": ""directDebitSepaUpdateNewLine1"",    ""displayType"": ""text""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-US&partner=storify&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-US,storify,add,,,,Edited,[0].displayDescription[0].members[0].displayContent,Set up a SEPA Direct debit account,Set up to pay by SEPA direct debit,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-US&partner=storify&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-US,storify,add,,,,Edited,[0].displayDescription[0].members[0].displayId,addDirectDebitSepaHeading,addDirectDebitSepaNewHeading,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
