PropertyHintId,CountryIds,MessageSource,DefaultErrorMessage,ErrorRegEx,ErrorCode,ErrorMessage
cupPhoneNumber,,fromRegex,Mobile number must be 11 digits,^.{11}$,invalid_phone_number,Check the phone number.
,,fromErrorCode,,,required_field_empty,The phone number associated with your bank account is a required field
non_sim_mobi_phone_operator,,fromErrorCode,Mobile operator is a required field,,required_field_empty,Mobile operator is a required field
non_sim_mobi_phone_number,,fromErrorCode,Incorrectly formatted phone number,,required_field_empty,Your phone number is a required field
addressline1,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Address line 1 is a required field
addressline2,,fromErrorCode,Incorrectly formatted address,,invalid_address,Incorrectly formatted address
addressCity,,fromErrorCode,Incorrectly formatted city,,required_field_empty,City is a required field
addressState,,fromErrorCode,Incorrectly formatted state,,required_field_empty,State is a required field
addressCounty,,fromErrorCode,Incorrectly formatted state,,required_field_empty,A required field is empty
addressProvince,,fromErrorCode,Incorrectly formatted state,,required_field_empty,Province is a required field
addressPostalCode,,fromErrorCode,Incorrectly formatted postal code,,required_field_empty,Postal Code is a required field
addressPostalCode,US,fromErrorCode,Incorrectly formatted zip code,,required_field_empty,ZIP Code is a required field
addressCountry,,fromErrorCode,Incorrectly formatted country,,required_field_empty,Country/Region is a required field
addressFirstName,,fromErrorCode,"Invalid first name, please correct your first name.",,required_field_empty,"Invalid first name, please correct your first name."
addressMiddleName,,fromErrorCode,"Invalid middle name, please correct your middle name.",,required_field_empty,"Invalid middle name, please correct your middle name."
addressLastName,,fromErrorCode,"Invalid last name, please correct your last name.",,required_field_empty,"Invalid last name, please correct your last name."
addressline1Roobe,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Address line 1 is a required field
addressline2Roobe,,fromErrorCode,Incorrectly formatted address,,invalid_address,Incorrectly formatted address
addressCityRoobe,,fromErrorCode,Incorrectly formatted city,,required_field_empty,City is a required field
addressStateRoobe,,fromErrorCode,Incorrectly formatted state,,required_field_empty,State is a required field
addressCountyRoobe,,fromErrorCode,Incorrectly formatted state,,required_field_empty,A required field is empty
addressProvinceRoobe,,fromErrorCode,Incorrectly formatted state,,required_field_empty,Province is a required field
addressPostalCodeRoobe,,fromErrorCode,Incorrectly formatted postal code,,required_field_empty,Postal Code is a required field
addressPostalCodeRoobe,US,fromErrorCode,Incorrectly formatted zip code,,required_field_empty,ZIP Code is a required field
addressCountryRoobe,,fromErrorCode,Incorrectly formatted country,,required_field_empty,Country/Region is a required field
addressFirstNameRoobe,,fromErrorCode,"Invalid first name, please correct your first name.",,required_field_empty,"Invalid first name, please correct your first name."
addressMiddleNameRoobe,,fromErrorCode,"Invalid middle name, please correct your middle name.",,required_field_empty,"Invalid middle name, please correct your middle name."
addressLastNameRoobe,,fromErrorCode,"Invalid last name, please correct your last name.",,required_field_empty,"Invalid last name, please correct your last name."
idealBillingAgreementSelectBank,,fromErrorCode,Incorrectly formatted Bank name,,required_field_empty,Make sure to select your bank's name
smsChallengeCode,,fromErrorCode,Check and re-enter the code. The code you entered is not valid.,,required_field_empty,Make sure to enter the verification code
firstName,,fromErrorCode,"Invalid first name, please correct your first name.",,required_field_empty,First name is a required field
,,fromRegex,"Invalid first name, please correct your first name.",^\s*$,required_field_empty,First name is a required field
lastName,,fromErrorCode,"Invalid last name, please correct your last name.",,required_field_empty,Last name is a required field
,,fromRegex,"Invalid last name, please correct your last name.",^\s*$,required_field_empty,Last name is a required field
emailAddress,,fromErrorCode,Incorrectly formatted Email Address,,required_field_empty,Email address is a required field
nationality,,fromErrorCode,Incorrectly formatted Nationality,,required_field_empty,A required field is empty
birthday,,fromErrorCode,Incorrectly formatted Birthday,,required_field_empty,A required field is empty
curp_id,,fromErrorCode,Incorrectly formatted CURP ID,,required_field_empty,A required field is empty
directDebitAchBankCode,,fromErrorCode,Incorrectly formatted Routing number,,required_field_empty,Routing number is a required field
directDebitAchAccount,,fromRegex,Incorrectly formatted Account number,\s,invalid_account_number_has_spaces,No spaces are allowed in the Account number
,,fromErrorCode,Incorrectly formatted Account number,,required_field_empty,Account number is a required field
directDebitAchChallengeAmount,,fromErrorCode,"Check the format of the amount you entered. For example 0.40.",,required_field_empty,A required field is empty
directDebitSepaChallengeAmount,,fromErrorCode,"Check the format of the amount you entered. For example 0.40 or 0,40.",,required_field_empty,A required field is empty
achTermCheckbox,,fromErrorCode,,,required_field_empty,You have to accept the authorization for setting up the account.
directDebitSepaBankCode,,fromErrorCode,Incorrectly formatted BIC,,required_field_empty,BIC is a required field
directDebitSepaBankName,,fromErrorCode,Incorrectly formatted Bank name,,required_field_empty,Bank name is a required field
,,fromRegex,Incorrectly formatted Bank name,^\s*$,required_field_empty,Bank name is a required field
directDebitSepaAccount,,fromRegex,Incorrectly formatted IBAN number,\s,invalid_account_number_has_spaces,No spaces are allowed in the IBAN number
,,fromErrorCode,Incorrectly formatted IBAN number,,required_field_empty,IBAN Number is a required field
alipayBillingAgreementAccountId,,fromErrorCode,Incorrectly formatted Alipay account,,required_field_empty,Alipay Account is a required field
alipayBillingAgreementPhone,,fromRegex,Your mobile number should be 11 digits,^\d{11}$,invalid_phone_number,Check the phone number.
,,fromErrorCode,,,required_field_empty,Alipay associated mobile number is a required field
alipayBillingAgreementLastFiveCertNo,,fromErrorCode,Incorrectly formatted Last 5 digits of your national Id,,required_field_empty,Last 5 digits for National ID are required
taxCpfProperty,,fromErrorCode,"Invalid CPF. Please, use the format xxx.xxx.xxx-xx, adding the points and hyphen",,required_field_empty,A required field is empty
taxIndiaStateGstIdProperty,,fromErrorCode,Invalid India State GST ID,,invalid_india_state_gst_id_format,Invalid India State GST ID
taxIndiaPanIdProperty,,fromErrorCode,Invalid India PAN ID,,invalid_india_pan_id_format,Invalid India PAN ID
profileOrganizationCompanyNameProperty,,fromErrorCode,Incorrectly formatted company name,,required_field_empty,Enter your company name
profileOrganizationEmailAddressProperty,,fromErrorCode,Invalid Email Address.,,required_field_empty,Email address is a required field
profileOrganizationCompanyNamePropertyRoobe,,fromErrorCode,Incorrectly formatted company name,,required_field_empty,Enter your company name
profileOrganizationEmailAddressPropertyRoobe,,fromErrorCode,Invalid Email Address.,,required_field_empty,Email address is a required field
