PropertyHintId,CountryIds,MessageSource,DefaultErrorMessage,ErrorRegEx,ErrorCode,ErrorMessage
non_sim_mobi_phone_number,,fromErrorCode,Incorrectly formatted phone number,,required_field_empty,Your phone number is a required field
addressline1,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Address line 1 is a required field
addressline2,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Address line 2 is a required field
addressCity,,fromErrorCode,Incorrectly formatted city,,required_field_empty,City is a required field
addressState,,fromErrorCode,Incorrectly formatted state,,required_field_empty,State is a required field
addressCounty,,fromErrorCode,Incorrectly formatted state,,required_field_empty,A required field is empty
addressProvince,,fromErrorCode,Incorrectly formatted state,,required_field_empty,Province is a required field
addressPostalCode,,fromErrorCode,Incorrectly formatted postal code,,required_field_empty,Postal Code is a required field
addressPostalCode,US,fromErrorCode,Incorrectly formatted zip code,,required_field_empty,ZIP Code is a required field
addressCountry,,fromErrorCode,Incorrectly formatted country,,required_field_empty,Country/Region is a required field
idealBillingAgreementSelectBank,,fromErrorCode,Incorrectly formatted Bank name,,required_field_empty,Make sure to select your bank's name
smsChallengeCode,,fromErrorCode,Check and re-enter the code. The code you entered is not valid.,,required_field_empty,Make sure to enter the verification code
addressFirstName,,fromRegex,"Invalid first name, please correct your first name.",^\s*$,required_field_empty,First name is a required field
addressMiddleName,,fromErrorCode,"Invalid middle name, please correct your middle name.",,required_field_empty,"Invalid middle name, please correct your middle name."
addressLastName,,fromRegex,"Invalid last name, please correct your last name.",^\s*$,required_field_empty,Last name is a required field
firstName,,fromErrorCode,"Invalid first name, please correct your first name.",,required_field_empty,First name is a required field
,,fromRegex,"Invalid first name, please correct your first name.",^\s*$,required_field_empty,First name is a required field
lastName,,fromErrorCode,"Invalid last name, please correct your last name.",,required_field_empty,Last name is a required field
,,fromRegex,"Invalid last name, please correct your last name.",^\s*$,required_field_empty,Last name is a required field
emailAddress,,fromErrorCode,Incorrectly formatted Email Address,,required_field_empty,Email address is a required field
nationality,,fromErrorCode,Incorrectly formatted Nationality,,required_field_empty,A required field is empty
birthday,,fromErrorCode,Incorrectly formatted Birthday,,required_field_empty,A required field is empty
curp_id,,fromErrorCode,Incorrectly formatted CURP ID,,required_field_empty,A required field is empty
directDebitAchBankCode,,fromErrorCode,Incorrectly formatted Routing number,,required_field_empty,Routing number is a required field
directDebitAchAccount,,fromRegex,Incorrectly formatted Account number,\s,invalid_account_number_has_spaces,No spaces are allowed in the Account number
,,fromErrorCode,Incorrectly formatted Account number,,required_field_empty,Account number is a required field
directDebitAchChallengeAmount,,fromErrorCode,Check the format of the amount you entered. For example 0.40.,,required_field_empty,A required field is empty
directDebitSepaChallengeAmount,,fromErrorCode,"Check the format of the amount you entered. For example 0.40 or 0,40.",,required_field_empty,A required field is empty
achTermCheckbox,,fromErrorCode,,,required_field_empty,You have to accept the authorization for setting up the account.
directDebitSepaBankCode,,fromErrorCode,Incorrectly formatted BIC,,required_field_empty,BIC is a required field
directDebitSepaBankName,,fromErrorCode,Incorrectly formatted Bank name,,required_field_empty,Bank name is a required field
,,fromRegex,Incorrectly formatted Bank name,^\s*$,required_field_empty,Bank name is a required field
directDebitSepaAccount,,fromRegex,Incorrectly formatted IBAN number,\s,invalid_account_number_has_spaces,No spaces are allowed in the IBAN number
,,fromErrorCode,Incorrectly formatted IBAN number,,required_field_empty,IBAN Number is a required field
alipayBillingAgreementAccountId,,fromErrorCode,Incorrectly formatted Alipay account,,required_field_empty,Alipay Account is a required field
alipayBillingAgreementPhone,,fromRegex,Your mobile number should be 11 digits,^\d{11}$,invalid_phone_number,Check the phone number.
,,fromErrorCode,,,required_field_empty,Alipay associated mobile number is a required field
alipayBillingAgreementLastFiveCertNo,,fromErrorCode,Incorrectly formatted Last 5 digits of your national Id,,required_field_empty,Last 5 digits for National ID are required
taxCpfProperty,,fromErrorCode,"Invalid CPF. Please, use the format xxx.xxx.xxx-xx, adding the points and hyphen",,required_field_empty,A required field is empty
taxIndiaStateGstIdProperty,,fromErrorCode,Invalid India State GST ID,,invalid_india_state_gst_id_format,Invalid India State GST ID
taxIndiaPanIdProperty,,fromErrorCode,Invalid India PAN ID,,invalid_india_pan_id_format,Invalid India PAN ID
taxCodiceFiscaleIdProperty,,fromErrorCode,Invalid Codice Fiscale ID,,invalid_national_identification_number_format,Invalid Codice Fiscale ID
taxNationalIdProperty,,fromErrorCode,Invalid UIN,,invalid_national_identification_number_format,Invalid UIN
klarnaPersonalNumber,,fromErrorCode,Check the format of your personal number,,required_field_empty,Personal number is a required field
klarnaPersonalNumber,at,fromErrorCode,Check the format of your date of birth,,required_field_empty,Personal number is a required field
klarnaPersonalNumber,de,fromErrorCode,Check the format of your date of birth,,required_field_empty,Date of birth is a required field
klarnaPersonalNumber,nl,fromErrorCode,Check the format of your date of birth,,required_field_empty,Personal number is a required field
klarnaPhoneNumber,,fromErrorCode,Incorrectly formatted Phone number,,required_field_empty,Phone number is a required field
klarnaemailAddress,,fromErrorCode,Incorrectly formatted Email Address,,required_field_empty,Email address is a required field
klarnaGender,,fromErrorCode,,,required_field_empty,Gender is a required field
klarnaTermCheckbox,,fromErrorCode,,,required_field_empty,A required field is empty
klarnaaddressline1,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Address line 1 is a required field
klarnaAddressLine2,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Address line 2 is a required field
klarnaAddressPostalCode,,fromErrorCode,Incorrectly formatted Zip code,,required_field_empty,ZIP code is a required field
klarnaFirstName,,fromErrorCode,Incorrectly formatted First name,,required_field_empty,First name is a required field
,,fromRegex,Incorrectly formatted First name,^\s*$,required_field_empty,First name is a required field
klarnaLastName,,fromErrorCode,Incorrectly formatted Last name,,required_field_empty,Last name is a required field
,,fromRegex,Incorrectly formatted Last name,^\s*$,required_field_empty,Last name is a required field
hapiV1ModernAccountV20190531Address_addressLine1,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Address line 1 is a required field
hapiV1ModernAccountV20190531Address_addressLine2,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Address line 2 is a required field
hapiV1ModernAccountV20190531Address_city,,fromErrorCode,Incorrectly formatted address,,required_field_empty,City is a required field
hapiV1ModernAccountV20190531Address_region,,fromErrorCode,Incorrectly formatted address,,required_field_empty,State is a required field
hapiV1ModernAccountV20190531Address_postalCode,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Postal code is a required field
hapiV1ModernAccountV20190531Address_postalCode,us,fromErrorCode,Incorrectly formatted address,,required_field_empty,Zip is a required field
hapiV1ModernAccountV20190531Address_country,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Country/Region is a required field
hapiV1ModernAccountV20190531Address_email,,fromErrorCode,Incorrectly formatted Email Address,,required_field_empty,Email address is a required field
hapiV1ModernAccountV20190531Address_phoneNumber,,fromErrorCode,Incorrectly formatted phone number,,required_field_empty,Phone number is a required field
hapiV1ModernAccountV20190531OrganizationAddress_companyName,,fromErrorCode,Incorrectly formatted company name,,required_field_empty,Company name is a required field
,,fromRegex,Incorrectly formatted company name,,invalid_company_name,Invalid company name
hapiV1ModernAccountV20190531IndividualAddress_firstName,,fromErrorCode,Incorrectly formatted first name,,required_field_empty,First name is a required field
,,fromRegex,Incorrectly formatted first name,,invalid_address_first_name,Invalid first name
hapiV1ModernAccountV20190531IndividualAddress_middleName,,fromErrorCode,Incorrectly formatted middle name,,required_field_empty,Middle name is a required field
hapiV1ModernAccountV20190531IndividualAddress_lastName,,fromErrorCode,Incorrectly formatted last name,,required_field_empty,Last name is a required field
,,fromRegex,Incorrectly formatted last name,,invalid_address_last_name,Invalid last name
hapiV1ModernAccountV20190531IndividualAddress_companyName,,fromErrorCode,Incorrectly formatted company name,,invalid_company_name,Incorrectly formatted company name
,,fromRegex,Incorrectly formatted company name,,invalid_company_name,Invalid company name
hapiV1ShipToOrganization_name,,fromErrorCode,Incorrectly formatted location name,,required_field_empty,Location name is a required field
hapiV1ShipToIndividual_name,,fromErrorCode,Incorrectly formatted location name,,required_field_empty,Location name is a required field
hapiTaxVatIdProperty,,fromErrorCode,Invalid Vat ID,,invalid_tax_vat_id_format,Invalid Vat ID
hapiTaxVatIdProperty,fj,fromErrorCode,Invalid TIN,,invalid_tax_vat_id_format,Invalid TIN
hapiTaxVatIdProperty,gt,fromErrorCode,Invalid NIT,,invalid_tax_vat_id_format,Invalid NIT
hapiTaxVatIdProperty,kh,fromErrorCode,Invalid VAT-TIN,,invalid_tax_vat_id_format,Invalid VAT-TIN
hapiTaxVatIdProperty,ph,fromErrorCode,Invalid TIN,,invalid_tax_vat_id_format,Invalid TIN
hapiTaxVatIdProperty,vn,fromErrorCode,Invalid TIN,,invalid_tax_vat_id_format,Invalid TIN
hapiTaxVatIdProperty,bd,fromErrorCode,Invalid BIN,,invalid_tax_vat_id_format,Invalid BIN
hapiTaxVatIdProperty,bs,fromErrorCode,Invalid TIN,,invalid_tax_vat_id_format,Invalid TIN
hapiTaxVatIdProperty,cl,fromErrorCode,Invalid RUT,,invalid_tax_vat_id_format,Invalid RUT
hapiTaxVatIdProperty,co,fromErrorCode,Invalid NIT,,invalid_tax_vat_id_format,Invalid NIT
hapiTaxVatIdProperty,id,fromErrorCode,Invalid NPWP,,invalid_tax_vat_id_format,Invalid NPWP
hapiTaxVatIdProperty,th,fromErrorCode,Invalid TIN,,invalid_tax_vat_id_format,Invalid TIN
hapiTaxVatIdProperty,am,fromErrorCode,Invalid AAH,,invalid_tax_vat_id_format,Invalid AAH
hapiTaxVatIdProperty,by,fromErrorCode,Invalid NDS,,invalid_tax_vat_id_format,Invalid NDS
hapiTaxVatIdProperty,mx,fromErrorCode,Invalid RFC,,invalid_tax_vat_id_format,Invalid RFC
hapiTaxVatIdProperty,no,fromErrorCode,Invalid Orgnr,,invalid_tax_vat_id_format,Invalid Orgnr
hapiTaxVatIdProperty,tr,fromErrorCode,Invalid VKN,,invalid_tax_vat_id_format,Invalid VKN
hapiTaxVatIdProperty,bb,fromErrorCode,Invalid TIN,,invalid_tax_vat_id_format,Invalid TIN
hapiTaxVatIdProperty,il,fromErrorCode,"Invalid Ma'am",,invalid_tax_vat_id_format,"Invalid Ma'am"
hapiTaxVatIdProperty,kz,fromErrorCode,Invalid RUT,,invalid_tax_vat_id_format,Invalid RUT
hapiTaxVatIdProperty,la,fromErrorCode,Invalid TIN,,invalid_tax_vat_id_format,Invalid TIN
hapiTaxVatIdProperty,np,fromErrorCode,Invalid VAT,,invalid_tax_vat_id_format,Invalid VAT
hapiTaxVatIdProperty,eg,fromErrorCode,Invalid Tax Number,,invalid_tax_vat_id_format,Invalid Tax Number
hapiTaxVatIdProperty,ci,fromErrorCode,Invalid TVA,,invalid_tax_vat_id_format,Invalid TVA
hapiTaxVatIdProperty,gh,fromErrorCode,Invalid TIN,,invalid_tax_vat_id_format,Invalid TIN
hapiTaxVatIdProperty,sn,fromErrorCode,Invalid NINEA,,invalid_tax_vat_id_format,Invalid NINEA
hapiTaxVatIdProperty,zm,fromErrorCode,Invalid TPIN,,invalid_tax_vat_id_format,Invalid TPIN
hapiTaxVatIdProperty,sg,fromErrorCode,Invalid GST/VAT ID,,invalid_tax_vat_id_format,Invalid GST/VAT ID
hapiTaxVatIdProperty,ug,fromErrorCode,Invalid TIN,,invalid_tax_vat_id_format,Invalid TIN
,,fromErrorCode,,,required_field_empty,Enter a tax ID and then select Save.
hapiTaxCnpjProperty,,fromErrorCode,Invalid CNPJ,,invalid_tax_cnpj_id_format,Invalid CNPJ
,,fromErrorCode,,,required_field_empty,Enter a tax ID and then select Save.
hapiTaxIndiaStateGstIdProperty,,fromErrorCode,Invalid India State GST ID,,invalid_india_state_gst_id_format,Invalid India State GST ID
,,fromErrorCode,,,required_field_empty,Enter a tax ID and then select Save.
hapiTaxIndiaPanIdProperty,,fromErrorCode,Invalid India PAN ID,,invalid_india_pan_id_format,Invalid India PAN ID
,,fromErrorCode,,,required_field_empty,Enter a tax ID and then select Save.
hapiTaxCodiceFiscaleIdProperty,,fromErrorCode,Invalid Codice Fiscale ID,,invalid_national_identification_number_format,Invalid Codice Fiscale ID
,,fromErrorCode,,,required_field_empty,Enter a tax ID and then select Save.
hapiTaxNationalIdProperty,,fromErrorCode,Invalid UIN,,invalid_national_identification_number_format,Invalid UIN
,,fromErrorCode,,,required_field_empty,Enter a tax ID and then select Save.
hapiTaxLoveCodeProperty,,fromErrorCode,Love code is 3-7 digits long and limited to numbers.,,required_field_empty,Love code is 3-7 digits long and limited to numbers.
hapiTaxMobileBarcodeProperty,,fromErrorCode,"Mobile barcode is 8 digits beginning with ""/"", and the remaining 7 codes are limited to numbers, capitals, plus and minus signs.",,required_field_empty,"Mobile barcode is 8 digits beginning with ""/"", and the remaining 7 codes are limited to numbers, capitals, plus and minus signs."
profileEmployeeEmailAddressProperty,,fromErrorCode,Invalid Email Address.,,required_field_empty,Email address is a required field
profileEmployeeEmailProperty,,fromErrorCode,Invalid Email Address.,,required_field_empty,Email address is a required field
